aardvark|anteater,placental
brackish|briny,salty,unpalatable
braggadocio|bluster,boast
braiding|braid,trim,trimming
brainchild|inspiration,product,production
brainless|headless,stupid,unintelligent
brainwash|indoctrinate,persuade
brainy|brilliant,intelligent
brakeman|railroader,trainman
branched|bifurcate,forked,pronged
brand-new|new,spick-and-span
brandy|booze,liquor,spirits
brash|cheeky,forward,nervy
brazier|heater,warmer
break-in|burglary,housebreaking
breakage|break,reimbursement
breaker|fuse,surf,wave
breakneck|dangerous,unsafe
bream|clean,sunfish
breastbone|bone,sternum
breastwork|fortification,munition,parapet
breathing|activity,respiration,ventilation
breathtaking|breathless,exciting
brewer|maker,manufacturer,producer
brewery|plant,works
brewpub|brewery,restaurant
bribery|felony,graft
brickbat|criticism,fragment
bridesmaid|attendant,tender,woman
bridgehead|foothold,post,station
